Chemical ID,Standardized_SMILES,Scaffold,Measurement_Value_scaled,Measurement_Value,Test,Test_Type,Test_Subject,Measurement_Type
CHEMBL5271364,Cc1cc(C)c(C)c(-c2ccc(NC(=O)c3cc4sc(N5CCOCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.0604083894637133,4.88,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271366,O=C(Nc1ccc(-c2cc(Cl)cc(Cl)c2Cl)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.5794182537885646,5.15,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271368,O=C(Nc1ccc(-c2c(I)cc(I)cc2I)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,2.732773507843787,5.75,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271338,Cc1ccc(-c2ccc(NC(=O)c3cc4sc(N5CCNCC5)nc4s3)cc2)cc1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.675956638111972,4.68,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271344,Cc1cccc(-c2ccc(NC(=O)c3cc4sc(N5CCNCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.675956638111972,4.68,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271346,O=C(Nc1ccc(-c2cccc(Cl)c2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.8105147510850819,4.75,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271348,O=C(Nc1ccc(-c2ccc(I)cc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,1.1565213273016481,4.93,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271349,COc1ccc(-c2ccc(NC(=O)c3cc4sc(N5CCNCC5)nc4s3)cc2)c(F)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.3683952370305789,4.52,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271351,O=C(Nc1ccc(-c2ccc(F)c(F)c2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.5606211127064504,4.62,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271353,COc1cc(OC)cc(-c2ccc(NC(=O)c3cc4sc(N5CCNCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.23383712405747076,4.45,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271355,O=C(Nc1ccc(-c2cc(F)cc(F)c2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.5606211127064504,4.62,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271357,O=C(Nc1ccc(-c2cc(Br)cc(Br)c2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,1.5217504910858028,5.12,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271359,COc1cc(OC)c(F)c(-c2ccc(NC(=O)c3cc4sc(N5CCNCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.3683952370305789,4.52,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271361,O=C(Nc1ccc(-c2cc(F)c(F)c(F)c2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.675956638111972,4.68,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271363,COc1cc(OC)c(OC)c(-c2ccc(NC(=O)c3cc4sc(N5CCNCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.09927901108436085,4.38,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271365,O=C(Nc1ccc(-c2cc(F)cc(F)c2F)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,0.675956638111972,4.68,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271367,O=C(Nc1ccc(-c2c(Br)cc(Br)cc2Br)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCNCC3)nc2s1,2.098428118113414,5.42,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271393,COc1ccc(NC(=O)c2cc3sc(N4CCOCC4)nc3s2)c2ccccc12,O=C(Nc1cccc2ccccc12)c1cc2sc(N3CCOCC3)nc2s1,-0.3428405029701404,4.15,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271395,O=C(Nc1ccc(F)c2ccccc12)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1cccc2ccccc12)c1cc2sc(N3CCOCC3)nc2s1,-0.5350663786460119,4.05,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271397,O=C(Nc1ccc(Br)c2ccccc12)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1cccc2ccccc12)c1cc2sc(N3CCOCC3)nc2s1,0.17616936135470912,4.42,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271394,Cc1ccc(NC(=O)c2cc3sc(N4CCNCC4)nc3s2)c2ccccc12,O=C(Nc1cccc2ccccc12)c1cc2sc(N3CCNCC3)nc2s1,-0.09294686459150894,4.28,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271396,O=C(Nc1ccc(Cl)c2ccccc12)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1cccc2ccccc12)c1cc2sc(N3CCNCC3)nc2s1,-0.016056514321160686,4.32,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271398,O=C(Nc1ccc(I)c2ccccc12)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1cccc2ccccc12)c1cc2sc(N3CCNCC3)nc2s1,0.3683952370305789,4.52,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271399,COc1ccc(NC(=O)c2cc3sc(N4CCOCC4)nc3s2)c2c1CCCC2,O=C(Nc1cccc2c1CCCC2)c1cc2sc(N3CCOCC3)nc2s1,-0.15061462729427058,4.25,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271401,O=C(Nc1ccc(F)c2c1CCCC2)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1cccc2c1CCCC2)c1cc2sc(N3CCOCC3)nc2s1,-0.3428405029701404,4.15,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271403,O=C(Nc1ccc(Br)c2c1CCCC2)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1cccc2c1CCCC2)c1cc2sc(N3CCOCC3)nc2s1,0.3683952370305789,4.52,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271400,Cc1ccc(NC(=O)c2cc3sc(N4CCNCC4)nc3s2)c2c1CCCC2,O=C(Nc1cccc2c1CCCC2)c1cc2sc(N3CCNCC3)nc2s1,0.09927901108436085,4.38,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271402,O=C(Nc1ccc(Cl)c2c1CCCC2)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1cccc2c1CCCC2)c1cc2sc(N3CCNCC3)nc2s1,0.17616936135470912,4.42,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271404,O=C(Nc1ccc(I)c2c1CCCC2)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1cccc2c1CCCC2)c1cc2sc(N3CCNCC3)nc2s1,0.5606211127064504,4.62,Physicochem,ClogP,Not specified,Not specified
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,O=C1C=CC=CCCCCCCCC/C=C/OC2Oc3ccc4cc(c(C=NN5CCNCC5)cc4c3C2=O)N1,0.022388660814012595,4.34,Physicochem,ClogP,Not specified,Not specified
CHEMBL5267910,O=C(Nc1ccc(-c2ccc(F)cn2)cc1)c1cc2sc(NCCN3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccn2)cc1)c1cc2sc(NCCN3CCOCC3)nc2s1,0.4452855873009272,4.56,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271339,O=C(Nc1ccc(-c2cccs2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2cccs2)cc1)c1cc2sc(N3CCOCC3)nc2s1,-0.18905980242944384,4.23,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271340,O=C(Nc1ccc(-c2ccco2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccco2)cc1)c1cc2sc(N3CCNCC3)nc2s1,-0.8426277797274041,3.89,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271341,O=C(Nc1ccc(-c2cccnc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2cccnc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,-1.0925214181060363,3.76,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271342,O=C(Nc1ccc(-c2ccccn2)cc1)c1cc2sc(N3CCNCC3)nc2s1,O=C(Nc1ccc(-c2ccccn2)cc1)c1cc2sc(N3CCNCC3)nc2s1,-0.977185892700514,3.82,Physicochem,ClogP,Not specified,Not specified
